continent,country,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,gdp_per_capita,human_development_index
Asia,Kyrgyzstan,78415,1321,12019.115,202.477,6524191,32.333,3393.474,0.672
Asia,Laos,41,NA,5.635,NA,7275556,29.715,6397.36,0.601
Europe,Latvia,28535,394,15128.284,208.885,1886202,31.212,25063.846,0.847
Asia,Lebanon,153049,1248,22423.31,182.845,6825442,594.561,13367.565,0.757
Africa,Lesotho,2400,46,1120.316,21.473,2142252,73.562,2851.153,0.52
Africa,Liberia,1779,83,351.743,16.411,5057677,49.127,752.788,0.435
Africa,Libya,93283,1337,13575.768,194.578,6871287,3.623,17881.509,0.706
Europe,Liechtenstein,1635,21,42871.752,550.646,38137,237.012,NA,0.916
Europe,Lithuania,103028,933,37846.064,342.726,2722291,45.135,29524.265,0.858
Europe,Luxembourg,43279,428,69138.433,683.732,625976,231.447,94277.965,0.904
Africa,Madagascar,17587,259,635.116,9.353,27691019,43.951,1416.44,0.519
Africa,Malawi,6138,187,320.858,9.775,19129955,197.519,1095.042,0.477
Asia,Malaysia,89133,432,2753.909,13.347,32365998,96.254,26808.164,0.802
Asia,Maldives,13418,48,24823.233,88.8,540542,1454.433,15183.616,0.717
Africa,Mali,6049,211,298.704,10.419,20250834,15.196,2014.306,0.427
Europe,Malta,11475,182,25988.644,412.195,441539,1454.037,36513.323,0.878
Oceania,Marshall Islands,4,NA,67.574,NA,59194,295.15,3819.202,0.708
Africa,Mauritania,11805,254,2538.895,54.628,4649660,4.289,3597.633,0.52
Africa,Mauritius,524,10,412.025,7.863,1271767,622.962,20292.745,0.79
North America,Mexico,1289298,116487,9999.771,903.471,128932753,66.444,17336.469,0.774
Europe,Moldova,131919,2674,32702.085,662.872,4033963,123.655,5189.972,0.7
Europe,Monaco,700,3,17837.122,76.445,39244,19347.5,NA,NA
Asia,Mongolia,941,NA,287.04,NA,3278292,1.98,11840.846,0.741
Europe,Montenegro,42995,614,68456.617,977.61,628062,46.28,16409.288,0.814
Africa,Morocco,409746,6804,11101.051,184.338,36910558,80.08,7485.013,0.667
